id,angle,template,headline,platform,campaign,launched_date,spend,impressions,clicks,leads,booked_jobs,cost_per_lead,notes
bb_20260920_quote_B_01,quote,B,Show us the pile. We'll call with your price.,,,,,,,,,,
bb_20260920_quote_B_02,quote,B,An exact price. Before we haul a thing.,,,,,,,,,,
bb_20260920_price_B_01,price,B,Straight pricing. No runaround.,,,,,,,,,,
bb_20260920_price_B_02,price,B,Single items from $75.,,,,,,,,,,
bb_20260920_truck_B_01,truck,B,Two brothers. One truck.,,,,,,,,,,
bb_20260920_military_B_01,military,B,PCS move? We know the deadline.,,,,,,,,,,
bb_20260920_usecase_B_01,usecase,B,"Garage, estate, storage unit.",,,,,,,,,,
bb_20260920_usecase_B_02,usecase,B,"Branches, leaves, storm mess.",,,,,,,,,,
bb_20260920_usecase_B_03,usecase,B,Washers. Dryers. Fridges. Grills.,,,,,,,,,,
bb_20260920_usecase_B_04,usecase,B,"Shingles, lumber, drywall, demo.",,,,,,,,,,
bb_20260920_whatwetake_C_01,whatwetake,C,"If you can pile it up, we can haul it off.",,,,,,,,,,
bb_20260920_process_C_01,process,C,Three steps. No surprises.,,,,,,,,,,
bb_20260920_area_D_01,area,D,Proudly hauling across the county.,,,,,,,,,,
bb_20260920_area_D_02,area,D,Local truck. Local number.,,,,,,,,,,
